Price_Range,Count,Avg_Actual_Price,Avg_Predicted_Price,MAPE (%),MdAPE (%)
[12-13),929.0,367904.87728740583,367916.61549963825,14.185045092778811,10.046122175765683
[13-14),6359.0,795091.0419877339,783758.9413566226,13.397299176639477,9.39918956170229
[14-15),2713.0,1809846.483730188,1773584.2739087522,17.746379911212852,13.124690295870082
[15-16),313.0,4598802.66115016,4384979.4889612,20.801998347714086,16.915617373102386
