,Train R^2,Test R^2,Train R^2 (Log),Test R^2 (Log),Train MAPE (%),Test MAPE (%),Train MdAPE (%),Test MdAPE (%)
Tuned XGBoost Model,0.8928002281191354,0.8385236990000339,0.9243288995756151,0.8949430048524374,12.5966650304812,14.504524658334345,9.292761363636401,10.29366615853657
"Log Range [12, 13)",-0.7138434024021061,-1.244250584707105,-0.05550918516347636,-0.3514696200137979,15.861764896891192,18.924962998868207,9.878317149653979,11.704116645152038
"Log Range [13, 14)",0.5897035401654672,0.4336578995396445,0.696301534069264,0.5976369112642219,11.10144640176512,12.539599322745607,8.112212642731665,8.834293305973018
"Log Range [14, 15)",0.5353616362877547,0.3169282597289731,0.48630748577429983,0.26610311817644994,13.889608190773487,16.19152795667352,11.333852280556703,12.644480453716833
"Log Range [15, 16)",0.18771071789464044,-0.2156485168335338,-0.3850525303498471,-1.1500659307224486,17.293597331712245,21.99073776430889,14.492475917729758,19.98573848382083
